Sentence,NER,generated_ner
do any famous people frequent the jimmys pizza too that is close by,"{""Amenity"": [""famous people""], ""Restaurant_Name"": [""jimmys pizza""], ""Location"": [""close by""]}","{ ""location"": [""jimmys""]}"
do any fast food restaurants accept out of town checks,"{""Cuisine"": [""fast food""], ""Amenity"": [""out of town checks""]}",{}
do any of the asian food restaurants use only organic meats and vegetables,"{""Cuisine"": [""asian"", ""organic meats and vegetables""]}",{}
do any of the authentic italian restaurants sell bottles of imported extra virgin olive oil,"{""Cuisine"": [""authentic italian""], ""Amenity"": [""sell bottles of imported extra virgin olive oil""]}","{ ""location"": [""italian""]}"
do any of the chinese restaurants in town do take out after midnight,"{""Cuisine"": [""chinese""], ""Location"": [""in town""], ""Amenity"": [""take out after midnight""]}",{}
do any of the family restaurants down town serve strawberry milk,"{""Amenity"": [""family""], ""Location"": [""down town""], ""Dish"": [""strawberry milk""]}",{}
do any of the italian restaurants around here offer an all you can eat buffet,"{""Cuisine"": [""italian""], ""Location"": [""around here""], ""Amenity"": [""all you can eat buffet""]}",{}
do any of the middle eastern restaurants close by 7 pm,"{""Cuisine"": [""middle eastern""], ""Hours"": [""close by 7 pm""]}",{}
do any of the restaurants in this town also have a dance floor and live music,"{""Amenity"": [""dance floor"", ""live music""]}",{}
do any restaurants nearby offer a few gluten free options,"{""Location"": [""nearby""], ""Amenity"": [""gluten free options""]}",{}
do any restaurants serve loaves of patitza around christmas time,"{""Dish"": [""loaves of patitza""]}","{ ""location"": [""patitza""]}"
do fast food restaurants accept checks in baltimore,"{""Cuisine"": [""fast food""], ""Amenity"": [""accept checks""], ""Location"": [""baltimore""]}","{ ""location"": [""baltimore""]}"
do i need a reservation for kings,"{""Amenity"": [""reservation""], ""Restaurant_Name"": [""kings""]}",{}
do know any place around here to take clients,"{""Location"": [""place around here""], ""Amenity"": [""take clients""]}",{}
do they have a smoking area,"{""Amenity"": [""smoking area""]}",{}
do they have any restaurants in the mall,"{""Location"": [""in the mall""]}",{}
do you have any good food recommendations,"{""Rating"": [""good""]}",{}
do you have any suggestions for some great tacos,"{""Rating"": [""great""], ""Dish"": [""tacos""]}",{}
do you have information about any deals they may have,{},{}
do you have to make a reservation to go to peachtree cafe,"{""Amenity"": [""reservation""], ""Restaurant_Name"": [""peachtree cafe""]}","{ ""location"": [""peachtree cafe""]}"
do you know any good pizza places open until midnight,"{""Rating"": [""good""], ""Dish"": [""pizza""], ""Hours"": [""open until midnight""]}",{}
do you know if elmos have a dress code,"{""Restaurant_Name"": [""elmos""], ""Amenity"": [""dress code""]}","{ ""location"": [""elmos""]}"
do you know if i can find fine dining in the theater district,"{""Amenity"": [""fine dining""], ""Location"": [""in the theater district""]}",{}
do you know if reggianos serve breakfast,"{""Restaurant_Name"": [""reggianos""], ""Hours"": [""breakfast""]}","{ ""location"": [""regianos""]}"
do you know if the burrito place is open this late,"{""Cuisine"": [""burrito""], ""Hours"": [""open this late""]}",{}
do you know if the purple cactus burrito and wrap bar ongreentree lane have byob,"{""Restaurant_Name"": [""purple cactus burrito and wrap bar""], ""Location"": [""ongreentree lane""], ""Amenity"": [""byob""]}","{ ""location"": [""purple cactus burrito"", ""ongreentree lane""]}"
do you know if there are any excellent wine bar close by,"{""Rating"": [""excellent""], ""Cuisine"": [""wine bar""], ""Location"": [""close by""]}",{}
do you know if there are any fine dining cajun restaurant with a fireplace that is within one mile,"{""Amenity"": [""fine dining"", ""fireplace""], ""Cuisine"": [""cajun""], ""Location"": [""within one mile""]}",{}
do you know if there are any irish restaurants that is not too far away,"{""Cuisine"": [""irish""], ""Location"": [""not too far away""]}","{ ""location"": [""irish""]}"
do you know if there are any reasonably priced cajun restaurants that open at 11 am,"{""Price"": [""reasonably""], ""Cuisine"": [""cajun""], ""Hours"": [""open at 11 am""]}",{}
do you know if there are any resataurants in the mall,"{""Location"": [""in the mall""]}",{}
do you know if there are any reviews on monacos,"{""Restaurant_Name"": [""monacos""]}","{ ""location"": [""monacos""]}"
do you know of a bakery that is still open,"{""Cuisine"": [""bakery""], ""Hours"": [""still open""]}",{}
do you know the name of that restaurant on morgan street that is getting all the raves,"{""Location"": [""morgan street""], ""Rating"": [""getting all the raves""]}","{ ""location"": [""morgan street""]}"
do you know what restaurants have catering,"{""Amenity"": [""catering""]}",{}
do you know where i can find a place to eat that has gotten good reviews,"{""Rating"": [""good reviews""]}",{}
do you know where i can get some fresh sushi,"{""Dish"": [""fresh sushi""]}",{}
do you know where there is a wine bar,"{""Amenity"": [""wine bar""]}",{}
do you know where they sell hummus,"{""Dish"": [""hummus""]}","{ ""product"": [""hummus""]}"
do you think the noodle bar is open,"{""Restaurant_Name"": [""noodle bar""], ""Hours"": [""open""]}",{}
do you think tin whistle has fabulous service,"{""Restaurant_Name"": [""tin whistle""], ""Amenity"": [""fabulous service""]}",{}
does angels have a dress code,"{""Restaurant_Name"": [""angels""], ""Amenity"": [""dress code""]}",{}
does any place sells corned beef and cabbage for st patricks day,"{""Dish"": [""corned beef and cabbage""], ""Hours"": [""st patricks day""]}","{ ""location"": [""st patricks""]}"
does anyone in town deliver tasty vegan pizza,"{""Location"": [""in town""], ""Amenity"": [""deliver""], ""Rating"": [""tasty""], ""Dish"": [""vegan pizza""]}",{}
does bellinis have any outdoor parking,"{""Restaurant_Name"": [""bellinis""], ""Amenity"": [""outdoor parking""]}","{ ""location"": [""bellinis""]}"
does buffalo wild wings do takeout orders,"{""Restaurant_Name"": [""buffalo wild wings""], ""Amenity"": [""takeout""]}","{ ""product"": [""buffalo wild wings""]}"
does burger king accept credit cards,"{""Restaurant_Name"": [""burger king""], ""Amenity"": [""accept credit cards""]}","{ ""location"": [""burger king""]}"
does caribe have a smoking area,"{""Restaurant_Name"": [""caribe""], ""Amenity"": [""smoking area""]}","{ ""location"": [""caribe""]}"
does chuck e cheeses have drive thru,"{""Restaurant_Name"": [""chuck e cheeses""], ""Amenity"": [""drive thru""]}","{ ""location"": [""chuck e cheeses""]}"
does dennys have a kids menu,"{""Restaurant_Name"": [""dennys""], ""Amenity"": [""kids menu""]}","{ ""location"": [""Dennys""]}"
does firstwatch breakfast restuarant have outdoor seating,"{""Restaurant_Name"": [""firstwatch breakfast restuarant""], ""Amenity"": [""outdoor seating""]}",{}
does freds have take out,"{""Restaurant_Name"": [""freds""], ""Amenity"": [""take out""]}",{}
does granit grill at 703 fx have cheap breakfast,"{""Restaurant_Name"": [""granit grill""], ""Location"": [""703 fx""], ""Price"": [""cheap""], ""Hours"": [""breakfast""]}","{ ""location"": [""granit""]}"
does gustovs have a bar,"{""Restaurant_Name"": [""gustovs""], ""Amenity"": [""bar""]}","{ ""location"": [""gustovs""]}"
does jaimes bakery have a great decor,"{""Restaurant_Name"": [""jaimes bakery""], ""Amenity"": [""great decor""]}","{ ""location"": [""jaimes""]}"
does johnsons steakhouse require formal attire,"{""Restaurant_Name"": [""johnsons steakhouse""], ""Amenity"": [""formal attire""]}","{ ""location"": [""johnsons""]}"
does logans serve hamburgers,"{""Restaurant_Name"": [""logans""], ""Dish"": [""hamburgers""]}","{ ""location"": [""logans""]}"
does mcdonalds serve ice cream during breakfast hours,"{""Restaurant_Name"": [""mcdonalds""], ""Dish"": [""ice cream during""], ""Hours"": [""breakfast hours""]}","{ ""location"": [""mcdonalds""]}"
does midys have takeout,"{""Restaurant_Name"": [""midys""], ""Amenity"": [""takeout""]}","{ ""location"": [""midys""]}"
does mikes cafe have a smoking section,"{""Restaurant_Name"": [""mikes cafe""], ""Amenity"": [""smoking section""]}","{ ""location"": [""mikes""]}"
does mikes country kitchen have a senior special,"{""Restaurant_Name"": [""mikes country kitchen""]}",{}
does mister foos take reservations,"{""Restaurant_Name"": [""mister foos""], ""Amenity"": [""reservations""]}","{ ""location"": [""Mister Foos""]}"
does mortons have a dress code,"{""Restaurant_Name"": [""mortons""], ""Amenity"": [""dress code""]}",{}
does olive garden serve wine,"{""Restaurant_Name"": [""olive garden""], ""Dish"": [""wine""]}",{}
does osaka sushi express have great portions,"{""Restaurant_Name"": [""osaka sushi express""], ""Amenity"": [""great portions""]}","{ ""location"": [""osaka""]}"
does paymon serves white wine,"{""Restaurant_Name"": [""paymon""], ""Dish"": [""white wine""]}","{ ""location"": [""paymon""]}"
does pedros mexican restaurant accept credit cards,"{""Restaurant_Name"": [""pedros""], ""Cuisine"": [""mexican""], ""Amenity"": [""accept credit cards""]}","{ ""location"": [""pedros mexican""]}"
does pizza hut accept credit,"{""Restaurant_Name"": [""pizza hut""]}",{}
does quang take credit cards,"{""Restaurant_Name"": [""quang""], ""Amenity"": [""credit cards""]}","{ ""location"": [""quang""]}"
does ricatonis offer a lunch portion option,"{""Restaurant_Name"": [""ricatonis""], ""Amenity"": [""lunch portion option""]}","{ ""location"": [""ricatonis""]}"
does ruby tuesday on drake avenue have a salad bar,"{""Restaurant_Name"": [""ruby tuesday""], ""Location"": [""drake avenue""], ""Amenity"": [""salad bar""]}","{ ""location"": [""drake avenue""]}"
does sherrys have an all you can eat buffet,"{""Restaurant_Name"": [""sherrys""]}","{ ""location"": [""sherrys""]}"
does stephanies on newbury have a brunch menu,"{""Restaurant_Name"": [""stephanies""], ""Location"": [""newbury""], ""Amenity"": [""brunch menu""]}","{ ""location"": [""stephanies"", ""newbury""]}"
does target have their own parking spot is it good for bringing my date there,"{""Amenity"": [""parking spot"", ""date""], ""Rating"": [""good""], ""Location"": [""bringing""]}","{ ""location"": [""target""]}"
does texas roadhouse open for lunch every day,"{""Restaurant_Name"": [""texas roadhouse""], ""Hours"": [""open for lunch every day""]}","{ ""location"": [""texas""]}"
does tgi fridays have senior discounts,"{""Restaurant_Name"": [""tgi fridays""], ""Amenity"": [""senior discounts""]}",{}
does the alicias diner on danton drive offer fixed price menus,"{""Restaurant_Name"": [""alicias diner""], ""Location"": [""danton drive""], ""Amenity"": [""fixed price menus""]}","{ ""location"": [""danton drive""]}"
does the asian restaurant downtown has parking,"{""Cuisine"": [""asian""], ""Location"": [""downtown""], ""Amenity"": [""parking""]}",{}
does the caranova restaurant at kendall square offer a fixed price menu,"{""Restaurant_Name"": [""caranova""], ""Location"": [""kendall square""], ""Amenity"": [""fixed price menu""]}","{ ""location"": [""kendall square""]}"
does the chinese buffet on 6 th avenue have a smoking section,"{""Cuisine"": [""chinese buffet""], ""Location"": [""6 th avenue""], ""Amenity"": [""smoking section""]}","{ ""location"": [""6 th avenue""]}"
does the eastside grill have a dress code,"{""Restaurant_Name"": [""eastside grill""], ""Amenity"": [""dress code""]}",{}
does the einstein bros bagels offer fine dining and a close location,"{""Restaurant_Name"": [""einstein bros bagels""], ""Amenity"": [""fine dining""], ""Location"": [""close""]}","{ ""product"": [""einstein bros bagels""]}"
does the italian restaurant in the town center offer carry out,"{""Cuisine"": [""italian""], ""Location"": [""in the town center""], ""Amenity"": [""carry out""]}",{}
does the italian restaurant on 5 th street require a dress code,"{""Cuisine"": [""italian""], ""Location"": [""5 th street""], ""Amenity"": [""dress code""]}","{ ""location"": [""5 th street""]}"
does the italos bakery along the road have waterfront dining,"{""Restaurant_Name"": [""italos bakery""], ""Location"": [""along the road""], ""Amenity"": [""waterfront dining""]}","{ ""location"": [""italos""]}"
does the kostas pizza and seafood restaurant have grat prices,"{""Restaurant_Name"": [""kostas pizza and seafood restaurant""], ""Price"": [""grat""]}","{ ""location"": [""kostas""]}"
does the kyotoyo japanese restaurant in the theater district deliver,"{""Restaurant_Name"": [""kyotoyo japanese restaurant""], ""Location"": [""theater district""], ""Amenity"": [""deliver""]}","{ ""location"": [""kyotoyo japanese""]}"
does the mcdonalds on 7 th avenue offer free parking,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""7 th avenue""], ""Amenity"": [""free parking""]}","{ ""location"": [""7 th avenue""]}"
does the nearest asian restaurant have a kids menu,"{""Location"": [""nearest""], ""Cuisine"": [""asian""], ""Amenity"": [""kids menu""]}",{}
does the nearest howard johnsons have room service,"{""Location"": [""nearest""], ""Restaurant_Name"": [""howard johnsons""], ""Amenity"": [""room service""]}","{ ""location"": [""howard johnsons""]}"
does the pho 2000 on state park rd have online reservation options,"{""Restaurant_Name"": [""pho 2000""], ""Location"": [""state park rd""], ""Amenity"": [""online reservation""]}","{ ""location"": [""state park rd""]}"
